Ep: 4/200, iter: 301/468, total_iters: 1705, s_err: 0.0112, d_err: 0.6224, alpha: 0.0908
Ep: 4/200, iter: 351/468, total_iters: 1755, s_err: 0.0005, d_err: 0.6155, alpha: 0.0934
Ep: 4/200, iter: 401/468, total_iters: 1805, s_err: 0.0178, d_err: 0.6122, alpha: 0.0961
Ep: 4/200, iter: 451/468, total_iters: 1855, s_err: 0.0552, d_err: 0.5991, alpha: 0.0987
Ep: 4/200, iter: 468/468, total_iters: 1872, s_err: 0.0363, d_err: 0.6468, alpha: 0.0996
Ep: 5/200, iter: 1/468, total_iters: 1873, s_err: 0.0311, d_err: 0.6221, alpha: 0.0997
Ep: 5/200, iter: 51/468, total_iters: 1923, s_err: 0.0329, d_err: 0.6193, alpha: 0.1023
Ep: 5/200, iter: 101/468, total_iters: 1973, s_err: 0.0019, d_err: 0.6092, alpha: 0.1050
Ep: 5/200, iter: 151/468, total_iters: 2023, s_err: 0.0122, d_err: 0.6046, alpha: 0.1076
Ep: 5/200, iter: 201/468, total_iters: 2073, s_err: 0.0424, d_err: 0.6258, alpha: 0.1102
Ep: 5/200, iter: 251/468, total_iters: 2123, s_err: 0.0346, d_err: 0.6103, alpha: 0.1129
Ep: 5/200, iter: 301/468, total_iters: 2173, s_err: 0.0026, d_err: 0.5958, alpha: 0.1155
Ep: 5/200, iter: 351/468, total_iters: 2223, s_err: 0.0079, d_err: 0.5889, alpha: 0.1181
Ep: 5/200, iter: 401/468, total_iters: 2273, s_err: 0.0211, d_err: 0.6013, alpha: 0.1208
Ep: 5/200, iter: 451/468, total_iters: 2323, s_err: 0.0127, d_err: 0.6260, alpha: 0.1234
Ep: 5/200, iter: 468/468, total_iters: 2340, s_err: 0.0139, d_err: 0.5777, alpha: 0.1243
Ep: 6/200, iter: 1/468, total_iters: 2341, s_err: 0.0015, d_err: 0.6316, alpha: 0.1244
Ep: 6/200, iter: 51/468, total_iters: 2391, s_err: 0.0006, d_err: 0.5816, alpha: 0.1270
Ep: 6/200, iter: 101/468, total_iters: 2441, s_err: 0.0072, d_err: 0.5840, alpha: 0.1296
Ep: 6/200, iter: 151/468, total_iters: 2491, s_err: 0.0416, d_err: 0.6156, alpha: 0.1322
Ep: 6/200, iter: 201/468, total_iters: 2541, s_err: 0.0026, d_err: 0.6185, alpha: 0.1349
Ep: 6/200, iter: 251/468, total_iters: 2591, s_err: 0.0064, d_err: 0.6194, alpha: 0.1375
Ep: 6/200, iter: 301/468, total_iters: 2641, s_err: 0.0218, d_err: 0.6437, alpha: 0.1401
Ep: 6/200, iter: 351/468, total_iters: 2691, s_err: 0.0020, d_err: 0.6175, alpha: 0.1427
Ep: 6/200, iter: 401/468, total_iters: 2741, s_err: 0.0060, d_err: 0.6005, alpha: 0.1453
Ep: 6/200, iter: 451/468, total_iters: 2791, s_err: 0.0027, d_err: 0.6184, alpha: 0.1479
Ep: 6/200, iter: 468/468, total_iters: 2808, s_err: 0.0049, d_err: 0.6014, alpha: 0.1488
Ep: 7/200, iter: 1/468, total_iters: 2809, s_err: 0.0215, d_err: 0.6169, alpha: 0.1489
Ep: 7/200, iter: 51/468, total_iters: 2859, s_err: 0.0020, d_err: 0.6193, alpha: 0.1515
Ep: 7/200, iter: 101/468, total_iters: 2909, s_err: 0.0045, d_err: 0.6349, alpha: 0.1541
Ep: 7/200, iter: 151/468, total_iters: 2959, s_err: 0.0040, d_err: 0.5934, alpha: 0.1567
Ep: 7/200, iter: 201/468, total_iters: 3009, s_err: 0.0058, d_err: 0.6051, alpha: 0.1593
Ep: 7/200, iter: 251/468, total_iters: 3059, s_err: 0.0028, d_err: 0.6326, alpha: 0.1619
Ep: 7/200, iter: 301/468, total_iters: 3109, s_err: 0.0006, d_err: 0.6054, alpha: 0.1645
Ep: 7/200, iter: 351/468, total_iters: 3159, s_err: 0.0135, d_err: 0.6036, alpha: 0.1671
Ep: 7/200, iter: 401/468, total_iters: 3209, s_err: 0.0109, d_err: 0.5816, alpha: 0.1697
Ep: 7/200, iter: 451/468, total_iters: 3259, s_err: 0.0027, d_err: 0.6076, alpha: 0.1723
Ep: 7/200, iter: 468/468, total_iters: 3276, s_err: 0.0067, d_err: 0.5960, alpha: 0.1732
Ep: 8/200, iter: 1/468, total_iters: 3277, s_err: 0.0531, d_err: 0.6005, alpha: 0.1732
Ep: 8/200, iter: 51/468, total_iters: 3327, s_err: 0.0176, d_err: 0.6067, alpha: 0.1758
Ep: 8/200, iter: 101/468, total_iters: 3377, s_err: 0.0065, d_err: 0.6351, alpha: 0.1784
Ep: 8/200, iter: 151/468, total_iters: 3427, s_err: 0.0037, d_err: 0.6308, alpha: 0.1810
Ep: 8/200, iter: 201/468, total_iters: 3477, s_err: 0.0095, d_err: 0.5894, alpha: 0.1836
Ep: 8/200, iter: 251/468, total_iters: 3527, s_err: 0.0139, d_err: 0.6341, alpha: 0.1862
Ep: 8/200, iter: 301/468, total_iters: 3577, s_err: 0.0176, d_err: 0.6391, alpha: 0.1887
Ep: 8/200, iter: 351/468, total_iters: 3627, s_err: 0.0583, d_err: 0.6213, alpha: 0.1913
Ep: 8/200, iter: 401/468, total_iters: 3677, s_err: 0.0057, d_err: 0.6298, alpha: 0.1939
Ep: 8/200, iter: 451/468, total_iters: 3727, s_err: 0.0262, d_err: 0.6361, alpha: 0.1965
Ep: 8/200, iter: 468/468, total_iters: 3744, s_err: 0.0402, d_err: 0.5930, alpha: 0.1973
Ep: 9/200, iter: 1/468, total_iters: 3745, s_err: 0.0003, d_err: 0.6269, alpha: 0.1974
Ep: 9/200, iter: 51/468, total_iters: 3795, s_err: 0.0067, d_err: 0.6214, alpha: 0.1999
Ep: 9/200, iter: 101/468, total_iters: 3845, s_err: 0.0171, d_err: 0.6041, alpha: 0.2025
Ep: 9/200, iter: 151/468, total_iters: 3895, s_err: 0.0086, d_err: 0.6283, alpha: 0.2051
Ep: 9/200, iter: 201/468, total_iters: 3945, s_err: 0.0555, d_err: 0.6269, alpha: 0.2076
Ep: 9/200, iter: 251/468, total_iters: 3995, s_err: 0.0668, d_err: 0.6198, alpha: 0.2102
Ep: 9/200, iter: 301/468, total_iters: 4045, s_err: 0.0010, d_err: 0.6270, alpha: 0.2127
Ep: 9/200, iter: 351/468, total_iters: 4095, s_err: 0.0016, d_err: 0.6165, alpha: 0.2153
Ep: 9/200, iter: 401/468, total_iters: 4145, s_err: 0.0077, d_err: 0.6120, alpha: 0.2178
Ep: 9/200, iter: 451/468, total_iters: 4195, s_err: 0.0026, d_err: 0.6356, alpha: 0.2204
Ep: 9/200, iter: 468/468, total_iters: 4212, s_err: 0.0210, d_err: 0.6275, alpha: 0.2212
Ep: 10/200, iter: 1/468, total_iters: 4213, s_err: 0.0004, d_err: 0.5927, alpha: 0.2213
Ep: 10/200, iter: 51/468, total_iters: 4263, s_err: 0.0033, d_err: 0.6165, alpha: 0.2238
Ep: 10/200, iter: 101/468, total_iters: 4313, s_err: 0.0043, d_err: 0.6533, alpha: 0.2264
Ep: 10/200, iter: 151/468, total_iters: 4363, s_err: 0.0007, d_err: 0.6228, alpha: 0.2289
Ep: 10/200, iter: 201/468, total_iters: 4413, s_err: 0.0011, d_err: 0.6473, alpha: 0.2314
Ep: 10/200, iter: 251/468, total_iters: 4463, s_err: 0.0028, d_err: 0.6157, alpha: 0.2339
Ep: 10/200, iter: 301/468, total_iters: 4513, s_err: 0.0011, d_err: 0.6309, alpha: 0.2365
Ep: 10/200, iter: 351/468, total_iters: 4563, s_err: 0.0044, d_err: 0.6318, alpha: 0.2390
Ep: 10/200, iter: 401/468, total_iters: 4613, s_err: 0.1558, d_err: 0.6559, alpha: 0.2415
Ep: 10/200, iter: 451/468, total_iters: 4663, s_err: 0.0088, d_err: 0.6618, alpha: 0.2440
Ep: 10/200, iter: 468/468, total_iters: 4680, s_err: 0.0019, d_err: 0.6170, alpha: 0.2449
Ep: 11/200, iter: 1/468, total_iters: 4681, s_err: 0.0045, d_err: 0.6436, alpha: 0.2449
Ep: 11/200, iter: 51/468, total_iters: 4731, s_err: 0.0112, d_err: 0.6448, alpha: 0.2474
Ep: 11/200, iter: 101/468, total_iters: 4781, s_err: 0.0034, d_err: 0.6346, alpha: 0.2499
Ep: 11/200, iter: 151/468, total_iters: 4831, s_err: 0.0004, d_err: 0.6241, alpha: 0.2524
Ep: 11/200, iter: 201/468, total_iters: 4881, s_err: 0.0034, d_err: 0.6028, alpha: 0.2549
Ep: 11/200, iter: 251/468, total_iters: 4931, s_err: 0.0006, d_err: 0.6510, alpha: 0.2574
Ep: 11/200, iter: 301/468, total_iters: 4981, s_err: 0.0107, d_err: 0.6321, alpha: 0.2599
Ep: 11/200, iter: 351/468, total_iters: 5031, s_err: 0.0143, d_err: 0.6380, alpha: 0.2624
Ep: 11/200, iter: 401/468, total_iters: 5081, s_err: 0.0177, d_err: 0.6582, alpha: 0.2649
Ep: 11/200, iter: 451/468, total_iters: 5131, s_err: 0.1224, d_err: 0.6360, alpha: 0.2674
Ep: 11/200, iter: 468/468, total_iters: 5148, s_err: 0.0113, d_err: 0.6350, alpha: 0.2682
Ep: 12/200, iter: 1/468, total_iters: 5149, s_err: 0.0804, d_err: 0.6279, alpha: 0.2683
Ep: 12/200, iter: 51/468, total_iters: 5199, s_err: 0.0492, d_err: 0.6259, alpha: 0.2707
Ep: 12/200, iter: 101/468, total_iters: 5249, s_err: 0.0471, d_err: 0.6305, alpha: 0.2732
Ep: 12/200, iter: 151/468, total_iters: 5299, s_err: 0.0033, d_err: 0.6305, alpha: 0.2757
Ep: 12/200, iter: 201/468, total_iters: 5349, s_err: 0.0435, d_err: 0.6504, alpha: 0.2782
Ep: 12/200, iter: 251/468, total_iters: 5399, s_err: 0.0218, d_err: 0.6356, alpha: 0.2806
Ep: 12/200, iter: 301/468, total_iters: 5449, s_err: 0.0379, d_err: 0.6437, alpha: 0.2831
Ep: 12/200, iter: 351/468, total_iters: 5499, s_err: 0.0042, d_err: 0.6554, alpha: 0.2855
Ep: 12/200, iter: 401/468, total_iters: 5549, s_err: 0.0252, d_err: 0.6047, alpha: 0.2880
Ep: 12/200, iter: 451/468, total_iters: 5599, s_err: 0.0018, d_err: 0.6459, alpha: 0.2904
Ep: 12/200, iter: 468/468, total_iters: 5616, s_err: 0.0112, d_err: 0.6468, alpha: 0.2913
Ep: 13/200, iter: 1/468, total_iters: 5617, s_err: 0.0080, d_err: 0.6389, alpha: 0.2913
Ep: 13/200, iter: 51/468, total_iters: 5667, s_err: 0.0611, d_err: 0.6658, alpha: 0.2938
Ep: 13/200, iter: 101/468, total_iters: 5717, s_err: 0.0051, d_err: 0.6602, alpha: 0.2962
Ep: 13/200, iter: 151/468, total_iters: 5767, s_err: 0.0128, d_err: 0.6329, alpha: 0.2986
Ep: 13/200, iter: 201/468, total_iters: 5817, s_err: 0.0012, d_err: 0.6431, alpha: 0.3011
